level,unit_id,unit_name,zone,terminal,ym,invoices_issued,billed_cr,collected_cr,outstanding_cr,collection_pct
berth,AMC2-1,AMC2-1 — AMCT-2 Berth 1,Container,AMC2,2023-10,1,0.69,0.0,0.69,79.7
berth,AMC2-2,AMC2-2 — AMCT-2 Berth 2,Container,AMC2,2023-10,1,1.23,0.83,1.23,77.6
berth,CT4-1,CT4-1 — CT-4 Berth 1,Container,CT4,2023-10,1,1.77,1.77,0.0,100.0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-10,2,1.05,1.05,0.0,100.5
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-10,2,0.84,0.98,0.4,83.5
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-10,1,0.57,0.0,0.57,90.2
berth,MICT-2,MICT-2 — MICT Berth 2,Container,MICT,2023-10,2,2.58,0.0,2.58,28.9
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-10,1,0.3,0.0,0.3,93.0
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-10,2,0.66,0.37,0.29,95.9
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-10,2,1.47,0.77,0.71,86.9
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-10,0,0.0,0.87,0.0,100.0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-10,1,3.18,6.03,3.18,88.9
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-10,1,2.26,1.95,2.26,82.5
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-10,3,5.28,3.13,2.16,90.6
port,INMUN,Mundra Port,,,2023-11,15,18.34,16.79,15.91,90.3
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-11,4,5.59,5.72,5.58,91.4
zone,CONTAINER,Container,Container,,2023-11,6,5.78,4.51,5.76,88.8
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-11,5,6.97,6.56,4.55,90.5
terminal,AMC2,AMCT-2,Container,AMC2,2023-11,2,2.06,1.92,2.06,81.2
terminal,AMCT,Adani Mundra Container Terminal,Container,AMCT,2023-11,2,2.08,0.0,2.08,82.5
terminal,CT3,CT-3 (AICT),Container,CT3,2023-11,1,0.99,0.0,0.99,91.7
terminal,CT4,CT-4 (ACMT JV),Container,CT4,2023-11,1,0.64,0.0,0.64,94.4
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2023-11,3,1.79,0.97,1.77,87.5
terminal,MICT,MICT (DP World JV),Container,MICT,2023-11,0,0.0,2.58,0.0,100.0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-11,1,0.46,1.3,0.46,97.3
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-11,1,0.82,0.0,0.82,88.3
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2023-11,2,5.17,5.6,2.75,91.9
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-11,2,4.31,4.42,4.32,89.3
berth,AMC2-1,AMC2-1 — AMCT-2 Berth 1,Container,AMC2,2023-11,1,1.55,0.69,1.55,68.7
berth,AMC2-2,AMC2-2 — AMCT-2 Berth 2,Container,AMC2,2023-11,1,0.51,1.23,0.51,91.5
berth,AMCT-1,AMCT-1 — AMCT Berth 1,Container,AMCT,2023-11,2,2.08,0.0,2.08,66.7
berth,CT3-2,CT3-2 — CT-3 Berth 2,Container,CT3,2023-11,1,0.99,0.0,0.99,81.9
berth,CT4-2,CT4-2 — CT-4 Berth 2,Container,CT4,2023-11,1,0.64,0.0,0.64,83.5
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-11,2,1.21,0.0,1.19,77.6
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-11,0,0.0,0.4,0.0,100.0
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-11,1,0.58,0.57,0.58,90.9
berth,MICT-2,MICT-2 — MICT Berth 2,Container,MICT,2023-11,0,0.0,2.58,0.0,100.0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-11,1,0.46,0.3,0.46,90.3
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-11,0,0.0,0.29,0.0,100.0
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-11,0,0.0,0.71,0.0,100.0
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-11,1,0.82,0.0,0.82,88.3
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-11,2,5.17,5.6,2.75,91.9
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-11,2,4.31,2.26,4.31,75.0
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-11,0,0.0,2.16,0.0,100.0
port,INMUN,Mundra Port,,,2023-12,17,24.16,28.2,11.87,93.7
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-12,5,4.94,8.07,2.45,96.5
zone,CONTAINER,Container,Container,,2023-12,7,9.2,9.75,5.21,91.4
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-12,5,10.02,10.38,4.19,92.8
terminal,AMC2,AMCT-2,Container,AMC2,2023-12,1,0.67,2.06,0.67,94.2
terminal,AMCT,Adani Mundra Container Terminal,Container,AMCT,2023-12,0,0.0,2.08,0.0,100.0
terminal,CT3,CT-3 (AICT),Container,CT3,2023-12,2,2.11,1.56,1.54,89.0
terminal,CT4,CT-4 (ACMT JV),Container,CT4,2023-12,3,4.45,4.05,1.04,93.4
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2023-12,2,1.15,1.79,1.13,92.6
terminal,MICT,MICT (DP World JV),Container,MICT,2023-12,1,1.97,0.0,1.97,72.6
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-12,2,0.92,0.46,0.92,94.9
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-12,1,0.51,0.82,0.51,93.2
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2023-12,3,8.87,8.59,3.03,92.9
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-12,2,3.51,6.78,1.05,97.6
berth,AMC2-1,AMC2-1 — AMCT-2 Berth 1,Container,AMC2,2023-12,1,0.67,1.55,0.67,88.1
berth,AMC2-2,AMC2-2 — AMCT-2 Berth 2,Container,AMC2,2023-12,0,0.0,0.51,0.0,100.0
berth,AMCT-1,AMCT-1 — AMCT Berth 1,Container,AMCT,2023-12,0,0.0,2.08,0.0,100.0
berth,CT3-2,CT3-2 — CT-3 Berth 2,Container,CT3,2023-12,0,0.0,0.99,0.0,100.0
berth,CT3-3,CT3-3 — CT-3 Berth 3,Container,CT3,2023-12,2,2.11,0.56,1.55,57.8
berth,CT4-1,CT4-1 — CT-4 Berth 1,Container,CT4,2023-12,2,3.41,3.41,0.0,100.0
berth,CT4-2,CT4-2 — CT-4 Berth 2,Container,CT4,2023-12,1,1.04,0.64,1.04,78.8
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-12,1,0.58,1.21,0.56,90.5
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-12,1,0.57,0.58,0.57,91.8
berth,MICT-2,MICT-2 — MICT Berth 2,Container,MICT,2023-12,1,1.97,0.0,1.97,64.8
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-12,0,0.0,0.46,0.0,100.0
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-12,1,0.46,0.0,0.46,93.9
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-12,1,0.46,0.0,0.46,92.2
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-12,1,0.51,0.82,0.51,93.2
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-12,3,8.87,8.59,3.03,92.9
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-12,0,0.0,4.31,0.0,100.0
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-12,2,3.51,2.47,1.04,96.1
port,INMUN,Mundra Port,,,2024-01,15,11.9,16.95,6.82,96.6
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2024-01,4,4.04,3.47,3.02,95.9
zone,CONTAINER,Container,Container,,2024-01,7,5.88,7.92,3.17,95.2
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2024-01,4,1.98,5.55,0.62,99.0
terminal,AMC2,AMCT-2,Container,AMC2,2024-01,0,0.0,0.67,0.0,100.0
terminal,AMCT,Adani Mundra Container Terminal,Container,AMCT,2024-01,1,0.59,0.0,0.59,95.3
terminal,CT3,CT-3 (AICT),Container,CT3,2024-01,4,3.51,3.3,1.75,90.0
terminal,CT4,CT-4 (ACMT JV),Container,CT4,2024-01,2,1.78,1.98,0.84,95.2
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2024-01,4,1.98,2.52,0.59,96.6
terminal,MICT,MICT (DP World JV),Container,MICT,2024-01,0,0.0,1.97,0.0,100.0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2024-01,2,0.89,0.92,0.89,95.3
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2024-01,0,0.0,0.51,0.0,100.0
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2024-01,0,0.0,3.03,0.0,100.0
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2024-01,2,3.16,2.04,2.17,95.4
berth,AMC2-1,AMC2-1 — AMCT-2 Berth 1,Container,AMC2,2024-01,0,0.0,0.67,0.0,100.0
berth,AMCT-2,AMCT-2 — AMCT Berth 2,Container,AMCT,2024-01,1,0.59,0.0,0.59,90.5
berth,CT3-2,CT3-2 — CT-3 Berth 2,Container,CT3,2024-01,1,1.18,1.18,0.0,100.0
berth,CT3-3,CT3-3 — CT-3 Berth 3,Container,CT3,2024-01,1,0.52,1.55,0.52,87.6
berth,CT3-4,CT3-4 — CT-3 Berth 4,Container,CT3,2024-01,2,1.82,0.57,1.25,75.6
berth,CT4-1,CT4-1 — CT-4 Berth 1,Container,CT4,2024-01,1,0.94,0.94,0.0,100.0
berth,CT4-2,CT4-2 — CT-4 Berth 2,Container,CT4,2024-01,1,0.83,1.04,0.83,85.5
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2024-01,1,0.4,0.98,0.0,100.3
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2024-01,3,1.59,1.54,0.62,92.8
berth,MICT-2,MICT-2 — MICT Berth 2,Container,MICT,2024-01,0,0.0,1.97,0.0,100.0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2024-01,1,0.33,0.0,0.33,93.5
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2024-01,0,0.0,0.46,0.0,100.0
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2024-01,1,0.56,0.46,0.56,91.3
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2024-01,0,0.0,0.51,0.0,100.0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2024-01,0,0.0,3.03,0.0,100.0
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2024-01,1,2.15,0.0,2.15,88.9
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2024-01,1,1.01,2.04,0.01,100.0
port,INMUN,Mundra Port,,,2024-02,17,16.47,10.18,13.11,93.9
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2024-02,9,9.4,5.94,6.48,92.2
zone,CONTAINER,Container,Container,,2024-02,3,2.08,3.18,2.07,97.0
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2024-02,5,4.99,1.06,4.55,93.0
terminal,AMCT,Adani Mundra Container Terminal,Container,AMCT,2024-02,0,0.0,0.59,0.0,100.0
terminal,CT3,CT-3 (AICT),Container,CT3,2024-02,1,0.5,1.76,0.49,97.3
terminal,CT4,CT-4 (ACMT JV),Container,CT4,2024-02,0,0.0,0.83,0.01,99.9
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2024-02,4,1.96,1.06,1.49,92.3
terminal,MICT,MICT (DP World JV),Container,MICT,2024-02,2,1.58,0.0,1.58,82.0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2024-02,5,3.1,1.59,2.4,89.2
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2024-02,1,0.76,0.0,0.76,90.8
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2024-02,1,3.03,0.0,3.03,93.4
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2024-02,3,5.54,4.35,3.36,93.6
berth,AMCT-2,AMCT-2 — AMCT Berth 2,Container,AMCT,2024-02,0,0.0,0.59,0.0,100.0
berth,CT3-3,CT3-3 — CT-3 Berth 3,Container,CT3,2024-02,1,0.5,0.52,0.5,89.3
berth,CT3-4,CT3-4 — CT-3 Berth 4,Container,CT3,2024-02,0,0.0,1.24,0.01,99.8
berth,CT4-2,CT4-2 — CT-4 Berth 2,Container,CT4,2024-02,0,0.0,0.83,0.0,100.0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2024-02,1,0.51,0.0,0.49,92.8
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2024-02,1,0.44,0.44,0.0,100.0
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2024-02,2,1.01,0.62,1.01,89.4
berth,MICT-2,MICT-2 — MICT Berth 2,Container,MICT,2024-02,2,1.58,0.0,1.58,78.0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2024-02,2,1.48,1.03,0.78,88.1
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2024-02,1,0.68,0.0,0.68,91.7
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2024-02,2,0.94,0.56,0.94,87.3
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2024-02,1,0.76,0.0,0.76,90.8
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2024-02,1,3.03,0.0,3.03,93.4
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2024-02,0,0.0,2.15,0.0,100.0
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2024-02,3,5.54,2.2,3.35,89.9
port,INMUN,Mundra Port,,,2024-03,21,24.07,16.83,20.35,91.5
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2024-03,8,6.62,8.48,4.62,94.8
zone,CONTAINER,Container,Container,,2024-03,8,7.78,3.8,6.05,92.1
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2024-03,5,9.66,4.54,9.67,87.0
terminal,AMC2,AMCT-2,Container,AMC2,2024-03,1,1.05,1.05,0.0,100.0
terminal,AMCT,Adani Mundra Container Terminal,Container,AMCT,2024-03,3,3.23,0.0,3.23,79.4
terminal,CT3,CT-3 (AICT),Container,CT3,2024-03,2,2.03,0.5,2.02,89.9
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2024-03,2,0.92,1.52,0.89,95.6
terminal,MICT,MICT (DP World JV),Container,MICT,2024-03,2,1.47,2.25,0.8,92.2
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2024-03,5,3.38,4.38,1.4,94.5
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2024-03,0,0.0,0.76,0.0,100.0
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2024-03,3,8.74,3.03,8.74,83.9
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2024-03,3,3.25,3.34,3.27,94.1
berth,AMC2-2,AMC2-2 — AMCT-2 Berth 2,Container,AMC2,2024-03,1,1.05,1.05,0.0,100.0
berth,AMCT-1,AMCT-1 — AMCT Berth 1,Container,AMCT,2024-03,2,2.14,0.0,2.14,74.5
berth,AMCT-2,AMCT-2 — AMCT Berth 2,Container,AMCT,2024-03,1,1.09,0.0,1.09,85.1
berth,CT3-1,CT3-1 — CT-3 Berth 1,Container,CT3,2024-03,1,1.07,0.0,1.07,59.2
berth,CT3-3,CT3-3 — CT-3 Berth 3,Container,CT3,2024-03,1,0.96,0.5,0.96,83.0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2024-03,1,0.46,0.51,0.44,93.9
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2024-03,1,0.47,0.0,0.47,85.9
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2024-03,0,0.0,1.01,0.0,100.0
berth,MICT-1,MICT-1 — MICT Berth 1,Container,MICT,2024-03,1,0.67,0.67,0.0,100.0
berth,MICT-2,MICT-2 — MICT Berth 2,Container,MICT,2024-03,1,0.8,1.58,0.8,90.0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2024-03,2,1.71,1.64,0.85,89.7
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2024-03,1,0.56,0.68,0.56,93.6
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2024-03,2,1.11,2.06,0.0,100.1
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2024-03,0,0.0,0.76,0.0,100.0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2024-03,3,8.74,3.03,8.74,83.9
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2024-03,1,1.13,0.0,1.13,94.5
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2024-03,2,2.11,3.34,2.12,94.0
port,INMUN,Mundra Port,,,2024-04,15,15.32,30.49,5.18,98.0
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2024-04,10,7.18,6.64,5.16,94.7
zone,CONTAINER,Container,Container,,2024-04,2,1.12,7.18,0.0,100.0
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2024-04,3,7.01,16.68,0.0,100.0
terminal,AMCT,Adani Mundra Container Terminal,Container,AMCT,2024-04,0,0.0,3.23,0.0,100.0
terminal,CT3,CT-3 (AICT),Container,CT3,2024-04,2,1.12,3.15,0.0,100.0
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2024-04,1,0.53,1.46,0.0,100.2
terminal,MICT,MICT (DP World JV),Container,MICT,2024-04,0,0.0,0.8,0.0,100.0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2024-04,7,3.71,2.02,3.09,89.4
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2024-04,1,0.48,0.48,0.0,100.0
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2024-04,2,6.48,15.22,0.0,100.0
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2024-04,2,2.99,4.13,2.13,96.4
berth,AMCT-1,AMCT-1 — AMCT Berth 1,Container,AMCT,2024-04,0,0.0,2.14,0.0,100.0
berth,AMCT-2,AMCT-2 — AMCT Berth 2,Container,AMCT,2024-04,0,0.0,1.09,0.0,100.0
berth,CT3-1,CT3-1 — CT-3 Berth 1,Container,CT3,2024-04,0,0.0,1.07,0.0,100.0
berth,CT3-2,CT3-2 — CT-3 Berth 2,Container,CT3,2024-04,2,1.12,1.12,0.0,100.0
berth,CT3-3,CT3-3 — CT-3 Berth 3,Container,CT3,2024-04,0,0.0,0.96,0.0,100.0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2024-04,0,0.0,0.46,0.0,100.3
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2024-04,0,0.0,0.47,0.0,100.0
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2024-04,1,0.53,0.53,0.0,100.0
berth,MICT-2,MICT-2 — MICT Berth 2,Container,MICT,2024-04,0,0.0,0.8,0.0,100.0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2024-04,2,1.13,1.18,0.8,91.5
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2024-04,2,0.6,0.84,0.32,96.6
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2024-04,3,1.98,0.0,1.97,81.2
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2024-04,1,0.48,0.48,0.0,100.0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2024-04,2,6.48,15.22,0.0,100.0
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2024-04,2,2.99,2.01,2.11,91.0
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2024-04,0,0.0,2.11,0.01,100.0
port,INMUN,Mundra Port,,,2024-05,12,11.45,8.09,8.54,96.8
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2024-05,6,7.15,7.19,5.12,95.1
zone,CONTAINER,Container,Container,,2024-05,5,3.94,0.9,3.03,96.3
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2024-05,1,0.36,0.0,0.36,99.6
terminal,AMC2,AMCT-2,Container,AMC2,2024-05,2,1.68,0.0,1.68,88.3
terminal,CT3,CT-3 (AICT),Container,CT3,2024-05,2,1.36,0.0,1.35,94.0
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2024-05,1,0.36,0.0,0.32,98.5
terminal,MICT,MICT (DP World JV),Container,MICT,2024-05,1,0.9,0.9,0.0,100.0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2024-05,2,0.85,3.09,0.85,97.2
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2024-05,1,0.83,0.0,0.83,91.3
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2024-05,3,5.47,4.1,3.5,94.5
berth,AMC2-1,AMC2-1 — AMCT-2 Berth 1,Container,AMC2,2024-05,1,0.87,0.0,0.87,86.6
berth,AMC2-2,AMC2-2 — AMCT-2 Berth 2,Container,AMC2,2024-05,1,0.81,0.0,0.81,89.7
berth,CT3-1,CT3-1 — CT-3 Berth 1,Container,CT3,2024-05,1,0.8,0.0,0.8,76.6
berth,CT3-3,CT3-3 — CT-3 Berth 3,Container,CT3,2024-05,1,0.56,0.0,0.56,91.0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2024-05,1,0.36,0.0,0.34,95.5
berth,MICT-1,MICT-1 — MICT Berth 1,Container,MICT,2024-05,1,0.9,0.9,0.0,100.0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2024-05,1,0.26,0.79,0.27,97.2
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2024-05,0,0.0,0.31,0.01,99.9
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2024-05,1,0.6,1.98,0.59,94.7
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2024-05,1,0.83,0.0,0.83,91.3
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2024-05,3,5.47,4.1,3.48,88.0
port,INMUN,Mundra Port,,,2024-06,14,14.36,14.22,8.68,96.9
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2024-06,6,6.12,7.83,3.41,96.9
zone,CONTAINER,Container,Container,,2024-06,4,3.77,3.04,3.76,95.6
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2024-06,4,4.47,3.35,1.48,98.3
terminal,AMC2,AMCT-2,Container,AMC2,2024-06,1,0.55,1.68,0.55,96.3
terminal,AMCT,Adani Mundra Container Terminal,Container,AMCT,2024-06,1,0.85,0.0,0.85,94.9
terminal,CT3,CT-3 (AICT),Container,CT3,2024-06,1,1.72,1.36,1.71,92.9
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2024-06,3,1.48,0.36,1.44,93.6
terminal,MICT,MICT (DP World JV),Container,MICT,2024-06,1,0.65,0.0,0.65,94.5
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2024-06,3,1.88,1.71,1.02,96.8
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2024-06,1,0.84,1.67,0.0,100.0
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2024-06,1,2.99,2.99,0.0,100.0
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2024-06,2,3.4,4.45,2.45,96.4
berth,AMC2-1,AMC2-1 — AMCT-2 Berth 1,Container,AMC2,2024-06,1,0.55,0.87,0.55,92.2
berth,AMC2-2,AMC2-2 — AMCT-2 Berth 2,Container,AMC2,2024-06,0,0.0,0.81,0.0,100.0
berth,AMCT-1,AMCT-1 — AMCT Berth 1,Container,AMCT,2024-06,1,0.85,0.0,0.85,90.8
berth,CT3-1,CT3-1 — CT-3 Berth 1,Container,CT3,2024-06,0,0.0,0.8,0.0,100.0
berth,CT3-2,CT3-2 — CT-3 Berth 2,Container,CT3,2024-06,1,1.72,0.0,1.72,81.9
berth,CT3-3,CT3-3 — CT-3 Berth 3,Container,CT3,2024-06,0,0.0,0.56,0.0,100.0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2024-06,2,1.01,0.36,0.99,88.5
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2024-06,1,0.47,0.0,0.47,87.7
berth,MICT-1,MICT-1 — MICT Berth 1,Container,MICT,2024-06,1,0.65,0.0,0.65,82.9
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2024-06,2,1.16,1.11,0.32,97.0
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2024-06,1,0.72,0.0,0.73,92.8
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2024-06,0,0.0,0.6,0.0,100.1
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2024-06,1,0.84,1.67,0.0,100.0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2024-06,1,2.99,2.99,0.0,100.0
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2024-06,1,0.98,4.45,0.01,100.0
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2024-06,1,2.43,0.0,2.44,93.5
port,INMUN,Mundra Port,,,2024-07,19,16.91,12.97,12.62,95.8
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2024-07,9,6.24,5.09,4.56,96.1
zone,CONTAINER,Container,Container,,2024-07,6,4.7,5.98,2.48,97.2
